instance,model,seed,time_limit,runtime,objective,valid,best_source,pool_size,accepted_seeds,rejected_seeds,accepted_children,rejected_children,accepted_migrants,rejected_migrants,pulls_attempted,pulls_accepted,solution,error
16_5_1.vrp,independent,42,30.0,30.00,334.96,True,worker_1,0,0,0,0,0,0,0,0,0,0 1 3 2 0 0 9 10 15 12 0 0 4 13 14 0 0 7 8 0 0 6 11 5 0,
16_5_1.vrp,one_way,42,30.0,30.00,334.96,True,worker_1,50,1,99,156385,106139,1,2,0,0,0 1 3 2 0 0 9 10 15 12 0 0 4 13 14 0 0 7 8 0 0 6 11 5 0,
16_5_1.vrp,bidirectional,42,30.0,30.00,334.96,True,worker_1,50,1,99,153134,104181,1,2,89453,89453,0 1 3 2 0 0 9 10 15 12 0 0 4 13 14 0 0 7 8 0 0 6 11 5 0,
21_4_1.vrp,independent,42,30.0,30.00,358.4,True,worker_1,0,0,0,0,0,0,0,0,0,0 2 8 17 0 0 1 6 19 11 20 5 0 0 14 13 16 18 10 12 0 0 7 9 3 15 4 0,
21_4_1.vrp,one_way,42,30.0,30.00,358.4,True,worker_1,50,1,99,149984,96566,7,2,0,0,0 2 8 17 0 0 1 6 19 11 20 5 0 0 14 13 16 18 10 12 0 0 7 9 3 15 4 0,
21_4_1.vrp,bidirectional,42,30.0,30.00,358.4,True,worker_1,50,1,99,154415,100347,8,11,72397,72397,0 2 8 17 0 0 1 6 19 11 20 5 0 0 14 13 16 18 10 12 0 0 7 9 3 15 4 0,
30_4_1.vrp,independent,42,30.0,30.00,505.01,True,worker_1,0,0,0,0,0,0,0,0,0,0 20 3 4 5 2 22 0 0 18 23 10 11 12 8 14 9 17 7 13 16 15 0 0 26 28 27 29 25 24 1 6 19 0 0 21 0,
30_4_1.vrp,one_way,42,30.0,30.00,505.01,True,worker_1,50,2,98,102137,37602,20,4,0,0,0 20 3 4 5 2 22 0 0 18 23 10 11 12 8 14 9 17 7 13 16 15 0 0 26 28 27 29 25 24 1 6 19 0 0 21 0,
30_4_1.vrp,bidirectional,42,30.0,30.00,505.01,True,worker_1,50,2,98,100363,35382,21,8,58785,58785,0 20 3 4 5 2 22 0 0 18 23 10 11 12 8 14 9 17 7 13 16 15 0 0 26 28 27 29 25 24 1 6 19 0 0 21 0,
