time_s,dist_W0_W1,dist_W0_W2,dist_W1_W2
2.04721,0.766234,0.711688,0.568831
2.07246,0.771429,0.711688,0.568831
2.08435,0.771429,0.711688,0.568831
2.09631,0.776623,0.711688,0.574026
2.1085,0.776623,0.711688,0.574026
2.12077,0.774026,0.711688,0.574026
2.13255,0.781818,0.711688,0.576623
2.17514,0.776623,0.72987,0.576623
2.25253,0.776623,0.732468,0.574026
2.31751,0.771429,0.732468,0.571429
2.33014,0.774026,0.732468,0.574026
2.34198,0.776623,0.732468,0.571429
2.35296,0.781818,0.732468,0.574026
2.3646,0.781818,0.732468,0.576623
2.37492,0.774026,0.735065,0.576623
2.37637,0.774026,0.735065,0.574026
2.38874,0.768831,0.735065,0.571429
2.40084,0.768831,0.735065,0.576623
2.41281,0.768831,0.735065,0.579221
2.42462,0.771429,0.735065,0.574026
2.43634,0.776623,0.735065,0.576623
2.44812,0.771429,0.735065,0.574026
2.45953,0.771429,0.732468,0.571429
2.66561,0.771429,0.732468,0.571429
2.66699,0.781818,0.781818,0.571429
2.76141,0.776623,0.78961,0.571429
2.87567,0.776623,0.78961,0.571429
2.87717,0.781818,0.78961,0.576623
2.88857,0.776623,0.78961,0.581818
2.9003,0.776623,0.78961,0.581818
2.91257,0.781818,0.78961,0.576623
2.91365,0.776623,0.787013,0.576623
2.92414,0.776623,0.787013,0.571429
2.93632,0.774026,0.787013,0.579221
2.93753,0.768831,0.774026,0.579221
2.95217,0.758442,0.771429,0.579221
3.02082,0.758442,0.771429,0.579221
3.03242,0.755844,0.771429,0.581818
3.04419,0.761039,0.771429,0.581818
3.05708,0.761039,0.771429,0.581818
3.06926,0.761039,0.771429,0.581818
3.08796,0.761039,0.771429,0.584416
3.1529,0.750649,0.758442,0.584416
3.18248,0.750649,0.768831,0.584416
3.20704,0.750649,0.771429,0.584416
3.26565,0.776623,0.781818,0.584416
3.28229,0.794805,0.781818,0.618182
3.29382,0.794805,0.781818,0.618182
3.2939,0.797403,0.781818,0.620779
3.30561,0.8,0.781818,0.618182
3.31711,0.797403,0.781818,0.620779
3.32876,0.8,0.781818,0.618182
3.34192,0.8,0.781818,0.620779
3.3536,0.797403,0.781818,0.620779
3.36485,0.8,0.781818,0.620779
3.37637,0.8,0.781818,0.623377
3.38795,0.8,0.781818,0.623377
3.39316,0.825974,0.807792,0.623377
3.40133,0.825974,0.807792,0.628571
3.413,0.823377,0.807792,0.631169
3.42287,0.823377,0.805195,0.631169
3.42462,0.828571,0.805195,0.638961
3.43677,0.825974,0.805195,0.649351
3.4382,0.831169,0.823377,0.649351
3.44853,0.833766,0.823377,0.649351
3.46052,0.831169,0.823377,0.65974
3.47255,0.836364,0.823377,0.654545
3.47718,0.849351,0.820779,0.654545
3.50113,0.849351,0.820779,0.654545
3.51595,0.875325,0.820779,0.851948
3.52537,0.875325,0.820779,0.851948
3.53497,0.875325,0.820779,0.854545
3.53721,0.844156,0.820779,0.854545
3.54515,0.844156,0.820779,0.85974
3.5534,0.846753,0.815584,0.85974
3.55533,0.846753,0.815584,0.862338
3.56238,0.846753,0.820779,0.862338
3.56479,0.844156,0.820779,0.862338
3.57483,0.844156,0.820779,0.857143
3.57859,0.844156,0.828571,0.857143
3.5846,0.846753,0.828571,0.85974
3.61125,0.888312,0.820779,0.85974
3.61891,0.877922,0.823377,0.85974
3.65628,0.880519,0.825974,0.85974
3.70653,0.880519,0.825974,0.85974
3.79668,0.883117,0.825974,0.85974
3.89989,0.862338,0.823377,0.85974
3.91094,0.862338,0.825974,0.85974
3.94573,0.862338,0.833766,0.85974
3.97833,0.862338,0.833766,0.85974
4.03449,0.85974,0.833766,0.857143
4.12075,0.85974,0.831169,0.857143
4.26298,0.849351,0.851948,0.857143
4.3006,0.849351,0.844156,0.857143
4.32532,0.849351,0.846753,0.857143
4.34205,0.854545,0.841558,0.857143
4.37987,0.846753,0.844156,0.857143
4.48317,0.851948,0.836364,0.857143
4.53358,0.851948,0.836364,0.854545
4.63163,0.846753,0.854545,0.854545
4.6557,0.844156,0.846753,0.854545
4.67692,0.844156,0.846753,0.854545
4.73511,0.844156,0.844156,0.854545
4.80229,0.857143,0.836364,0.854545
4.88601,0.864935,0.854545,0.854545
4.925,0.867532,0.864935,0.854545
4.94376,0.867532,0.864935,0.851948
4.97233,0.846753,0.875325,0.851948
4.97976,0.846753,0.875325,0.851948
5.04177,0.836364,0.880519,0.851948
5.05061,0.836364,0.880519,0.851948
6.66027,0.838961,0.867532,0.851948
6.68322,0.825974,0.864935,0.851948
6.78597,0.828571,0.872727,0.851948
6.84224,0.818182,0.864935,0.851948
6.90125,0.815584,0.862338,0.851948
7.02462,0.820779,0.857143,0.851948
7.03301,0.828571,0.857143,0.851948
7.04916,0.831169,0.85974,0.851948
7.0584,0.833766,0.872727,0.851948
7.1645,0.833766,0.872727,0.854545
7.22457,0.818182,0.841558,0.854545
7.28267,0.820779,0.844156,0.854545
7.37132,0.820779,0.844156,0.857143
7.6442,0.820779,0.841558,0.857143
7.71452,0.820779,0.828571,0.857143
7.72233,0.820779,0.823377,0.857143
7.73031,0.823377,0.820779,0.857143
7.73774,0.828571,0.818182,0.857143
7.79312,0.825974,0.823377,0.857143
7.84817,0.825974,0.823377,0.85974
7.95551,0.802597,0.833766,0.85974
7.9862,0.81039,0.836364,0.85974
7.99451,0.807792,0.833766,0.85974
8.04868,0.818182,0.841558,0.85974
8.05217,0.818182,0.841558,0.857143
8.06393,0.807792,0.849351,0.857143
8.07974,0.807792,0.846753,0.857143
8.11121,0.802597,0.841558,0.857143
8.1185,0.794805,0.851948,0.857143
8.25908,0.794805,0.849351,0.857143
8.37018,0.802597,0.846753,0.857143
8.4241,0.812987,0.857143,0.857143
8.43843,0.807792,0.862338,0.857143
8.45412,0.784416,0.864935,0.857143
8.46352,0.784416,0.864935,0.857143
8.49815,0.794805,0.862338,0.857143
8.50679,0.797403,0.857143,0.857143
8.52963,0.779221,0.85974,0.857143
8.56043,0.792208,0.867532,0.857143
8.56837,0.78961,0.864935,0.857143
8.59135,0.805195,0.867532,0.857143
8.59851,0.802597,0.867532,0.857143
8.60577,0.797403,0.867532,0.857143
8.67513,0.797403,0.867532,0.857143
8.70413,0.781818,0.87013,0.857143
8.89289,0.781818,0.87013,0.85974
9.09386,0.820779,0.864935,0.85974
9.10154,0.825974,0.867532,0.85974
9.11138,0.825974,0.87013,0.85974
9.11638,0.820779,0.867532,0.85974
9.16172,0.820779,0.864935,0.85974
9.18445,0.825974,0.862338,0.85974
9.19166,0.828571,0.864935,0.85974
9.22793,0.831169,0.867532,0.85974
9.23483,0.831169,0.867532,0.85974
9.25759,0.825974,0.87013,0.85974
9.26505,0.820779,0.867532,0.85974
9.28198,0.825974,0.867532,0.85974
9.30565,0.828571,0.867532,0.85974
9.31817,0.828571,0.87013,0.85974
9.52868,0.828571,0.87013,0.85974
9.7356,0.828571,0.87013,0.85974
9.94104,0.828571,0.867532,0.857143
10.052,0.828571,0.864935,0.857143
14.4971,0.78961,0.883117,0.857143
14.5391,0.792208,0.875325,0.857143
14.5805,0.787013,0.877922,0.857143
14.6045,0.794805,0.883117,0.857143
16.0435,0.815584,0.883117,0.857143
16.0503,0.818182,0.875325,0.857143
16.0824,0.812987,0.880519,0.857143
16.0909,0.815584,0.872727,0.857143
16.1061,0.818182,0.875325,0.857143
16.1287,0.818182,0.862338,0.849351
16.1298,0.818182,0.877922,0.849351
16.1368,0.81039,0.877922,0.849351
16.1513,0.807792,0.880519,0.849351
16.1595,0.818182,0.893506,0.849351
16.1747,0.818182,0.903896,0.849351
16.1818,0.812987,0.898701,0.849351
16.1896,0.805195,0.888312,0.849351
16.3242,0.779221,0.849351,0.849351
16.3311,0.787013,0.849351,0.849351
16.3407,0.787013,0.849351,0.849351
16.3602,0.787013,0.851948,0.849351
16.3672,0.78961,0.849351,0.849351
16.3742,0.787013,0.846753,0.849351
16.3815,0.787013,0.844156,0.849351
16.3898,0.776623,0.851948,0.849351
16.4056,0.771429,0.851948,0.849351
16.4127,0.776623,0.846753,0.849351
16.4287,0.776623,0.85974,0.849351
16.4441,0.787013,0.851948,0.849351
16.4682,0.78961,0.854545,0.849351
16.5687,0.78961,0.851948,0.844156
16.794,0.78961,0.854545,0.844156
16.8123,0.78961,0.867532,0.844156
16.8196,0.787013,0.867532,0.844156
16.8271,0.787013,0.87013,0.844156
16.8346,0.78961,0.867532,0.844156
16.8793,0.774026,0.867532,0.844156
17.0031,0.774026,0.867532,0.846753
17.2154,0.774026,0.867532,0.846753
17.4238,0.774026,0.867532,0.846753
17.6342,0.774026,0.864935,0.846753
17.8448,0.774026,0.87013,0.849351
18.0548,0.774026,0.87013,0.849351
18.2689,0.774026,0.87013,0.849351
18.485,0.774026,0.87013,0.849351
18.6971,0.774026,0.87013,0.851948
18.8648,0.737662,0.872727,0.851948
18.8801,0.732468,0.877922,0.851948
18.8955,0.724675,0.877922,0.851948
18.9034,0.714286,0.864935,0.851948
18.9087,0.714286,0.864935,0.851948
18.9344,0.722078,0.87013,0.851948
18.9413,0.722078,0.87013,0.851948
19.1245,0.722078,0.87013,0.851948
19.2783,0.74026,0.836364,0.851948
19.2851,0.74026,0.838961,0.851948
19.3075,0.745455,0.844156,0.851948
19.3156,0.742857,0.844156,0.851948
19.3359,0.742857,0.841558,0.851948
19.5463,0.742857,0.836364,0.851948
19.6195,0.753247,0.825974,0.851948
19.6549,0.755844,0.846753,0.851948
19.6628,0.745455,0.846753,0.851948
19.6934,0.74026,0.851948,0.851948
19.7008,0.74026,0.857143,0.851948
19.7078,0.737662,0.854545,0.851948
19.7365,0.745455,0.854545,0.851948
19.7559,0.745455,0.851948,0.862338
19.7659,0.74026,0.849351,0.862338
19.7867,0.742857,0.849351,0.862338
19.8158,0.74026,0.851948,0.862338
19.9669,0.74026,0.851948,0.85974
20.0811,0.74026,0.85974,0.85974
20.0906,0.727273,0.867532,0.85974
21.3996,0.727273,0.867532,0.862338
21.7253,0.727273,0.867532,0.85974
21.7577,0.724675,0.867532,0.851948
22.9859,0.724675,0.854545,0.854545
23.1967,0.724675,0.854545,0.854545
23.4005,0.724675,0.854545,0.851948
23.6076,0.724675,0.857143,0.851948
23.817,0.724675,0.857143,0.851948
24.0275,0.724675,0.854545,0.849351
24.1336,0.766234,0.862338,0.849351
24.141,0.753247,0.85974,0.849351
24.191,0.763636,0.862338,0.849351
24.2188,0.761039,0.862338,0.849351
24.2266,0.753247,0.85974,0.849351
24.2431,0.753247,0.854545,0.854545
24.4554,0.753247,0.857143,0.857143
24.5214,0.722078,0.836364,0.857143
24.5292,0.727273,0.833766,0.857143
24.5446,0.735065,0.833766,0.857143
24.5528,0.727273,0.828571,0.857143
24.5678,0.732468,0.831169,0.857143
24.5831,0.72987,0.825974,0.857143
24.6325,0.719481,0.841558,0.857143
24.6611,0.714286,0.838961,0.857143
24.666,0.714286,0.838961,0.857143
24.8848,0.714286,0.838961,0.857143
25.0545,0.714286,0.841558,0.857143
25.1923,0.703896,0.844156,0.857143
25.3005,0.703896,0.844156,0.85974
25.429,0.709091,0.831169,0.85974
25.4426,0.706494,0.818182,0.85974
25.4517,0.706494,0.815584,0.85974
25.4587,0.714286,0.820779,0.85974
25.4812,0.706494,0.825974,0.85974
25.5161,0.706494,0.825974,0.85974
25.73,0.706494,0.823377,0.85974
25.7309,0.709091,0.833766,0.85974
25.8763,0.701299,0.849351,0.85974
25.9014,0.711688,0.849351,0.85974
25.941,0.711688,0.846753,0.857143
26.1543,0.711688,0.846753,0.857143
26.3655,0.711688,0.846753,0.854545
26.5779,0.711688,0.846753,0.854545
26.6677,0.716883,0.846753,0.854545
26.7944,0.716883,0.846753,0.851948
27.0976,0.716883,0.844156,0.851948
27.3103,0.716883,0.844156,0.854545
27.5303,0.716883,0.849351,0.862338
27.7395,0.716883,0.849351,0.85974
27.9497,0.716883,0.844156,0.862338
28.1636,0.716883,0.844156,0.85974
28.3741,0.716883,0.844156,0.85974
28.584,0.716883,0.844156,0.85974
28.7989,0.716883,0.846753,0.85974
29.0188,0.716883,0.846753,0.857143
29.234,0.716883,0.846753,0.857143
29.4437,0.716883,0.846753,0.857143
29.6603,0.716883,0.844156,0.851948
29.8727,0.716883,0.846753,0.851948
30.0577,0.716883,0.844156,0.851948
30.2779,0.716883,0.844156,0.851948
30.4993,0.716883,0.844156,0.851948
30.7112,0.716883,0.846753,0.846753
30.9226,0.716883,0.846753,0.846753
31.1367,0.716883,0.846753,0.846753
31.3491,0.716883,0.844156,0.844156
31.5623,0.716883,0.846753,0.846753
31.7732,0.716883,0.846753,0.846753
31.9018,0.716883,0.846753,0.846753
31.9812,0.716883,0.846753,0.846753
32.1941,0.716883,0.851948,0.846753
32.4052,0.716883,0.851948,0.846753
32.6408,0.716883,0.851948,0.846753
32.6914,0.716883,0.851948,0.846753
32.9002,0.716883,0.851948,0.844156
33.1093,0.716883,0.851948,0.841558
33.318,0.716883,0.851948,0.838961
33.527,0.716883,0.849351,0.838961
33.6736,0.719481,0.849351,0.836364
33.6826,0.716883,0.849351,0.836364
33.7381,0.716883,0.851948,0.836364
33.9487,0.716883,0.854545,0.838961
34.1658,0.716883,0.854545,0.836364
34.3752,0.716883,0.851948,0.833766
34.5853,0.716883,0.851948,0.836364
34.7995,0.716883,0.851948,0.833766
35.0099,0.716883,0.851948,0.836364
35.0593,0.716883,0.851948,0.836364
35.2747,0.716883,0.846753,0.838961
35.4924,0.716883,0.849351,0.836364
35.7079,0.716883,0.846753,0.833766
35.8424,0.716883,0.846753,0.831169
35.9207,0.716883,0.846753,0.828571
35.9618,0.716883,0.846753,0.831169
36.1288,0.716883,0.846753,0.831169
36.294,0.742857,0.820779,0.831169
36.3363,0.742857,0.820779,0.831169
36.3586,0.719481,0.836364,0.831169
36.4015,0.724675,0.841558,0.831169
36.4154,0.719481,0.833766,0.831169
36.465,0.722078,0.831169,0.831169
36.4718,0.727273,0.831169,0.831169
36.5466,0.727273,0.836364,0.836364
36.7548,0.727273,0.836364,0.836364
