instance,mode,constructor,improver,granular,tabu,time_limit,seed,objective,runtime,valid,percent_improvement_over_baseline,pyvrp_gap_percent,loads,solution,error
101_11_2.vrp,regret_bidding+destroy_repair,regret_bidding,destroy_repair,False,False,30.0,0,1945.9,30.0039,True,19.61615360465309,,"[1834, 1723, 1643, 1835, 1807, 1745, 1817, 1841, 1695, 1788, 1775]",0 19 20 26 99 17 0 0 53 59 45 35 63 56 76 57 55 52 0 0 27 13 83 85 81 82 86 84 87 50 66 65 61 0 0 11 23 97 90 92 18 0 0 7 100 6 8 9 2 1 10 5 3 4 16 0 0 93 89 95 98 94 88 91 96 0 0 68 32 54 42 38 43 62 0 0 64 60 29 44 58 67 30 28 41 39 40 33 31 36 47 48 34 37 46 49 0 0 51 80 79 78 77 69 71 72 70 0 0 25 21 15 12 0 0 24 75 74 73 14 22 0,
101_11_2.vrp,regret_bidding+destroy_repair+granular,regret_bidding,destroy_repair,True,False,30.0,0,1972.61,30.0042,True,18.51278111006462,,"[1745, 1771, 1637, 1753, 1788, 1839, 1836, 1755, 1762, 1819, 1798]",0 7 9 2 1 10 95 98 94 88 91 96 0 0 68 58 67 30 28 41 39 40 33 31 36 47 48 34 42 37 46 54 49 0 0 17 90 92 20 0 0 26 18 75 74 73 24 0 0 12 15 21 25 0 0 11 97 93 89 99 23 0 0 53 59 35 45 32 44 29 60 66 50 83 65 64 0 0 63 43 38 56 62 0 0 51 69 71 72 70 14 22 19 0 0 61 77 78 79 76 80 57 55 52 0 0 27 13 85 81 82 87 84 86 100 6 8 5 3 4 16 0,
101_11_2.vrp,regret_bidding+destroy_repair+granular+tabu,regret_bidding,destroy_repair,True,True,30.0,0,1949.23,30.0045,True,19.478593499562127,,"[1834, 1826, 1835, 1820, 1711, 1745, 1841, 1841, 1481, 1794, 1775]",0 19 20 26 99 17 0 0 64 66 68 49 54 45 35 63 62 0 0 11 23 97 90 92 18 0 0 16 4 3 5 10 1 2 9 8 6 100 7 21 27 0 0 65 83 50 87 82 84 86 81 85 13 15 12 0 0 96 91 88 94 98 95 89 93 0 0 43 48 47 36 31 33 40 39 41 28 30 67 58 44 29 60 0 0 52 80 78 56 38 34 42 37 46 32 59 53 0 0 61 55 57 25 0 0 70 72 71 69 77 79 76 51 0 0 22 14 73 74 75 24 0,
101_11_2.vrp,regret_bidding+ip_subproblem,regret_bidding,ip_subproblem,False,False,0.2,0,2729.06,0.2047,True,-12.735669789652823,,"[1841, 1840, 1842, 1841, 1839, 1839, 1839, 1841, 1839, 1731, 1211]",0 9 88 91 96 90 75 74 73 17 0 0 40 33 31 36 47 48 38 34 37 0 0 58 44 84 4 100 6 8 2 1 10 98 94 99 18 0 0 97 93 89 95 3 67 0 0 41 83 87 86 7 5 15 0 0 21 11 23 92 20 26 0 0 55 59 45 54 43 56 42 46 39 28 30 25 0 0 60 29 32 35 63 78 62 0 0 70 72 71 69 77 79 76 80 52 27 0 0 16 13 85 81 82 50 66 68 49 53 57 51 61 0 0 64 65 12 24 14 22 19 0,
